No.,Ticker,Company,Sector,Industry,Market Cap,Forward P/E,Dividend,EPS (ttm),EPS growth this year (%),EPS next year,EPS growth next year (%),EPS growth past 5 years (%),EPS growth next 5 years (%),Sales growth past 5 years (%),Sales,Float Short (%),Total Debt/Equity,Profit Margin (%),Performance (Year) (%),Average True Range,52-Week High (%),52-Week Low (%),Relative Strength Index (14),IPO Date,Employees,Analyst Recom,Volume,Target Price,Price
55,S,"SentinelOne, Inc.",Technology,Software - Infrastructure,4722.78,0.41,NO,-1.36,-31.70,41.75,93.20,80.00,47.70,1300.00,477.30,6.68,0.00,-82.90,-31.79,0.80,-43.50,36.36,61.63,6/30/2021,2200,BUY,4212972,18.19,16.95
56,SAP,SAP SE,Technology,Software - Application,167364.17,20.27,YES,2.23,-56.20,-123.10,18.70,-10.20,21.20,5.60,34314.70,0.24,0.26,16.40,46.33,2.33,-6.00,74.37,50.89,5/16/1996,105328,BUY,807371,152.13,136.39
57,SNOW,Snowflake Inc.,Technology,Software - Application,55391.38,179.09,NO,-2.67,-10.40,25.10,61.11,50.00,200.00,2000.00,2266.90,4.01,0.00,-37.80,17.79,7.41,-14.14,48.05,50.72,9/16/2020,5884,BUY,2458640,200.16,176.58
58,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,68675.02,36.69,NO,5.93,30.70,187.98,14.01,48.10,17.03,13.30,5288.30,0.72,0.00,17.40,23.40,9.59,-3.10,69.85,57.90,2/26/1992,19000,BUY,550399,465.99,453.51
59,SOUN,"SoundHound AI, Inc.",Technology,Software - Application,480.77,0.05,NO,-0.62,-80.90,49.54,48.70,100.00,75.00,350.00,33.50,11.29,16.50,-370.63,-31.71,0.37,-53.23,156.99,36.07,4/28/2022,430,BUY,12497478,5.90,2.39
60,SPHR,Sphere Entertainment Co.,Communication Services,Entertainment,1359.35,29.99,NO,-4.13,-25.30,100.36,174.10,-5.00,200.00,19.40,1593.00,11.68,0.93,-5.10,53.36,1.74,-6.15,129.10,74.35,4/9/2020,2200,BUY,377866,25.33,41.23
61,SPLK,Splunk Inc.,Technology,Software - Infrastructure,17385.70,28.03,NO,-1.05,79.30,-84.32,17.52,-4.70,22.10,22.80,3731.10,2.95,-26.11,-4.60,3.17,3.32,-8.25,64.92,55.01,4/19/2012,8000,BUY,663065,119.78,107.2
62,STIX,"Semantix, Inc.",Technology,Software - Application,147.65,0.00,NO,-0.91,-455.70,413.78,50.00,-300.00,50.00,250.00,55.30,0.11,0.19,-125.30,-81.09,0.20,-83.25,245.08,40.82,4/14/2021,683,HOLD,14360,4.25,1.9
63,SYM,Symbotic Inc.,Industrials,Specialty Industrial Machinery,29957.20,619.46,NO,-0.35,95.60,-33.81,123.70,100.00,125.00,1000.00,893.10,20.71,0.00,-2.30,221.84,6.16,-10.18,558.40,61.99,3/9/2021,1120,BUY,2396412,42.33,57.61
64,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,795263.62,55.36,NO,3.52,121.70,431.90,37.21,39.90,10.68,47.30,94028.00,3.37,0.05,13.00,-12.14,10.62,-17.03,156.43,48.71,6/29/2010,127855,BUY,83283311,235.79,261.07
65,TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,461422.21,15.69,YES,5.95,70.40,424.83,23.40,24.30,6.00,18.30,71152.80,0.29,0.29,45.60,11.21,2.41,-11.10,65.57,44.32,10/8/1997,52045,BUY,6429789,112.01,98.4
66,TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,25406.61,18.84,NO,-6.85,-296.50,2024.18,129.81,-44.40,42.92,24.40,5349.90,2.75,0.34,-21.00,14.36,2.58,-1.33,68.66,61.95,4/15/1997,11580,BUY,1078828,152.12,151.79
67,TXN,Texas Instruments Incorporated,Technology,Semiconductors,161369.55,22.49,YES,8.33,13.80,123.28,7.96,20.80,10.00,6.00,18821.00,1.75,0.70,40.60,-0.29,3.97,-5.18,22.20,49.15,10/1/1953,33000,BUY,4028797,183.94,178.37
68,UBER,"Uber Technologies, Inc.",Technology,Software - Application,91411.14,50.71,NO,-1.72,100.20,-174.06,6976.92,-10.40,23.17,32.10,33846.00,2.12,1.23,-10.00,98.93,1.54,-5.74,103.85,55.47,5/10/2019,32800,BUY,82176369,52.59,46.65
69,UPST,"Upstart Holdings, Inc.",Financial,Credit Services,5389.45,111.42,NO,-3.30,-191.90,629.97,266.70,-65.30,30.00,77.70,710.40,36.95,1.60,-38.10,196.30,5.21,4.60,504.27,77.13,12/16/2020,1875,HOLD,12501299,22.93,72.09
70,VERI,"Veritone, Inc.",Technology,Software - Infrastructure,160.82,-0.10,NO,-0.72,63.50,-46.44,88.10,35.20,100.00,59.70,145.60,12.30,2.27,-18.10,-34.28,0.30,-57.96,55.03,61.88,5/12/2017,661,HOLD,284324,4.89,4.62
71,VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,33087.91,35.59,YES,4.66,76.40,360.68,16.48,18.90,10.50,3.10,2373.10,4.56,41.53,21.30,20.48,3.62,-4.02,40.68,51.72,10/7/2009,7000,BUY,1165595,232.79,229.22
72,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,436279.46,12.32,YES,14.77,146.40,2177.10,-5.86,32.60,-10.74,10.90,394585.00,0.72,0.21,14.10,10.00,2.20,-11.09,27.10,55.72,1/1/1920,62000,BUY,14183905,123.04,106.62
